年度,月,行政區域代碼,區隊,回收量（噸）
114,10,63000090,南港區隊,176.43
114,10,63000110,士林區隊,463.4
114,10,63000100,內湖區隊,482.41
114,10,63000020,信義區隊,392.34
114,10,63000050,中正區隊,257.74
114,10,63000070,萬華區隊,279.33
114,10,63000030,大安區隊,657.92
114,10,63000080,文山區隊,540.75
114,10,63000060,大同區隊,133
114,10,,其他,60.21
114,11,63000120,北投區隊,343.22
114,11,63000010,松山區隊,357.94
114,11,63000040,中山區隊,551.13
114,11,63000090,南港區隊,178.95
114,11,63000110,士林區隊,431.98
114,11,63000100,內湖區隊,486.56
114,11,63000020,信義區隊,385.32
114,11,63000050,中正區隊,253.53
114,11,63000070,萬華區隊,281.87
114,11,63000030,大安區隊,650.33
114,11,63000080,文山區隊,527.73
114,11,63000060,大同區隊,136.45
114,11,,其他,47.78
114,12,63000120,北投區隊,363.44
114,12,63000010,松山區隊,396.36
114,12,63000040,中山區隊,607.8
114,12,63000090,南港區隊,175.89
114,12,63000110,士林區隊,458.34
114,12,63000100,內湖區隊,513.75
114,12,63000020,信義區隊,429.91
114,12,63000050,中正區隊,269.1
114,12,63000070,萬華區隊,293.61
114,12,63000030,大安區隊,705.37
114,12,63000080,文山區隊,560.34
114,12,63000060,大同區隊,147.41
114,12,,其他,81.49
115,1,63000120,北投區隊,418.92
115,1,63000010,松山區隊,432.76
115,1,63000040,中山區隊,659.31
115,1,63000090,南港區隊,221.78
115,1,63000110,士林區隊,528.47
115,1,63000100,內湖區隊,579.84
115,1,63000020,信義區隊,464.42
115,1,63000050,中正區隊,304.51
115,1,63000070,萬華區隊,330.4
115,1,63000030,大安區隊,781.4
115,1,63000080,文山區隊,639.34
115,1,63000060,大同區隊,169.02
115,1,,其他,109.17
115,2,63000120,北投區隊,413.53
115,2,63000010,松山區隊,469.34
115,2,63000040,中山區隊,707.72
115,2,63000090,南港區隊,225.9
115,2,63000110,士林區隊,608.8
115,2,63000100,內湖區隊,665.78
115,2,63000020,信義區隊,496.59
115,2,63000050,中正區隊,305.7
115,2,63000070,萬華區隊,374.33
115,2,63000030,大安區隊,835.62
115,2,63000080,文山區隊,731.97
115,2,63000060,大同區隊,169.05
115,2,,其他,66.65
